,"Ставка, %","Срок погашения, дней",Кредит (актив),Вклад (пассив),[ОТВЕТ] Номер группы,Пример группировки (для первых 20 сделок),,s
53,1.8849,60,1422400000.0,1205900000.0,14.0,0.0,0.0,216500000.0
54,1.8921,60,461500000.0,663900000.0,15.0,0.0,0.0,-202400000.0
55,1.9039,61,943300000.0,782500000.0,15.0,0.0,0.0,160800000.0
56,1.9198,62,311500000.0,205800000.0,15.0,0.0,0.0,105700000.0
57,1.9436,63,424600000.0,285001000.0,15.0,0.0,0.0,139599000.0
58,1.9436,64,554100000.0,446100000.0,15.0,0.0,0.0,108000000.0
59,1.9436,68,472900000.0,529900000.0,15.0,0.0,0.0,-57000000.0
60,1.9563,68,32900000.0,93600000.0,15.0,0.0,0.0,-60700000.0
61,1.9604,54,817500000.0,531382000.0,15.0,0.0,0.0,286118000.0
62,1.9842,68,823600000.0,399500000.0,16.0,0.0,0.0,424100000.0
63,1.9842,69,916200000.0,734600000.0,16.0,0.0,0.0,181600000.0
64,1.9842,70,601400000.0,451091509.05,16.0,0.0,0.0,150308490.95
65,2.0063,71,650600000.0,663800000.0,16.0,0.0,0.0,-13200000.0
66,2.0172,74,751000000.0,1055050000.0,16.0,0.0,0.0,-304050000.0
67,2.0246,74,1277653439.82,964337637.1,16.0,1.0,0.0,313315802.7199999
68,2.0246,75,358400000.0,652000000.0,16.0,1.0,0.0,-293600000.0
69,2.0252,76,622700000.0,555200000.0,16.0,0.0,0.0,67500000.0
70,2.0349,77,662700000.0,655500000.0,16.0,0.0,0.0,7200000.0
71,2.035,57,0.0,22531.93,16.0,0.0,0.0,-22531.93
72,2.04,57,0.0,31540.6,16.0,0.0,0.0,-31540.6
73,2.0473,78,798600000.0,1133600000.0,16.0,0.0,0.0,-335000000.0
74,2.0573,81,686000000.0,838500000.0,16.0,0.0,0.0,-152500000.0
75,2.07,62,0.0,11219.09,17.0,0.0,0.0,-11219.09
76,2.0714,81,892450000.0,740700000.0,18.0,3.0,0.0,151750000.0
77,2.0714,82,296700000.0,542600000.0,18.0,0.0,0.0,-245900000.0
78,2.0888,83,674900000.0,1073450000.0,18.0,0.0,0.0,-398550000.0
79,2.1069,84,997000000.0,675200000.0,18.0,2.0,0.0,321800000.0
80,2.1245,85,759100000.0,845700000.0,18.0,0.0,0.0,-86600000.0
81,2.1266,85,70000000.0,70000000.0,18.0,0.0,0.0,0.0
82,2.136,55,31411.22,0.0,17.0,0.0,0.0,31411.22
83,2.145,88,826600000.0,731150000.0,18.0,0.0,0.0,95450000.0
84,2.1775,88,943100000.0,927100000.0,19.0,3.0,0.0,16000000.0
85,2.1775,89,540200000.0,464300000.0,19.0,0.0,0.0,75900000.0
86,2.1841,36,0.0,20000000.0,20.0,0.0,0.0,-20000000.0
87,2.196,32,0.0,22743.97,20.0,0.0,0.0,-22743.97
88,2.2018,90,319100000.0,626500000.0,19.0,0.0,0.0,-307400000.0
89,2.2225,91,442700000.0,499800000.0,19.0,0.0,0.0,-57100000.0
90,2.2481,92,39300000.0,0.0,19.0,0.0,0.0,39300000.0
91,2.31,88,0.0,87921000.0,21.0,0.0,0.0,-87921000.0
92,2.3375,85,70000000.0,0.0,21.0,0.0,0.0,70000000.0
93,2.5394,70,40000000.0,40000000.0,22.0,0.0,0.0,0.0
94,2.5442,70,40000000.0,0.0,22.0,0.0,0.0,40000000.0
95,2.75,33,0.0,53359.31,23.0,0.0,0.0,-53359.31
96,2.75,39,26598.02,0.0,23.0,0.0,0.0,26598.02
97,2.75,47,26524.42,26524.42,23.0,0.0,0.0,0.0
98,2.85,60,8842.28,0.0,24.0,0.0,0.0,8842.28
99,3.0,36,0.0,1349793.8599999999,25.0,0.0,0.0,-1349793.8599999999
100,3.0,39,0.0,401274.24,25.0,0.0,0.0,-401274.24
101,3.0,60,0.0,8918.16,26.0,0.0,0.0,-8918.16
102,3.0,68,0.0,9673.1,26.0,0.0,0.0,-9673.1
103,3.0,75,0.0,10273.31,26.0,0.0,0.0,-10273.31
104,3.0,89,0.0,11271.33,27.0,0.0,0.0,-11271.33
105,3.1625,75,14031.34,15.05,28.0,0.0,0.0,14016.29
106,3.416,33,11118871.39,0.0,29.0,0.0,0.0,11118871.39
107,3.6,54,0.0,125450000.0,30.0,0.0,0.0,-125450000.0
108,3.723,39,0.0,5418259.76,31.0,0.0,0.0,-5418259.76
109,4.0,36,0.0,1169909.21,32.0,0.0,0.0,-1169909.21
110,4.0,39,0.0,479998.07,32.0,0.0,0.0,-479998.07
111,4.375,39,1479990.43,0.0,33.0,0.0,0.0,1479990.43
112,6.375,46,0.0,5897734.37,34.0,0.0,0.0,-5897734.37
113,6.875,68,678172.92,851826.28,35.0,0.0,0.0,-173653.36
114,7.75,68,0.0,2910881.55,36.0,0.0,0.0,-2910881.55
115,9.125,39,0.0,630619.9,37.0,0.0,0.0,-630619.9
