,Кредит (актив),Вклад (пассив),Дата погашения,"Срок погашения, дней","Ставка, %",[ОТВЕТ] Номер группы,Пример группировки (для первых 20 сделок),
192,0.0,41250000.0,04.06.2018,74,2.0172,16.0,,
193,0.0,41200000.0,30.04.2018,39,1.7723,13.0,,
194,0.0,30000000.0,04.06.2018,74,2.0172,16.0,,
195,56300000.0,0.0,01.05.2018,40,1.7734,13.0,,
196,0.0,38400000.0,01.05.2018,40,1.7734,13.0,,
197,0.0,108600000.0,02.05.2018,41,1.7778,13.0,,
198,82000000.0,0.0,15.05.2018,54,1.9604,15.0,,
199,0.0,106200000.0,08.05.2018,47,1.789,13.0,,
200,31100000.0,0.0,08.05.2018,47,1.789,13.0,,
201,21200000.0,0.0,08.05.2018,47,1.789,13.0,,
202,21300000.0,0.0,08.05.2018,47,1.789,13.0,,
203,56700000.0,0.0,08.05.2018,47,1.7935,13.0,,
204,15500000.0,0.0,08.05.2018,47,1.7935,13.0,,
205,0.0,56200000.0,08.05.2018,47,1.7907,13.0,,
206,0.0,11300000.0,15.05.2018,54,1.8388,14.0,,
207,28200000.0,0.0,15.05.2018,54,1.8388,14.0,,
208,0.0,28200000.0,16.05.2018,55,1.85,14.0,,
209,0.0,28300000.0,16.05.2018,55,1.85,14.0,,
210,52400000.0,0.0,21.05.2018,60,1.8849,14.0,,
211,0.0,53100000.0,29.05.2018,68,1.9436,15.0,,
212,21300000.0,0.0,29.05.2018,68,1.9436,15.0,,
213,21300000.0,0.0,01.06.2018,71,2.0063,16.0,,
214,0.0,123000000.0,15.05.2018,54,1.9604,15.0,,
215,0.0,250000000.0,04.06.2018,74,2.0172,16.0,,
216,21300000.0,0.0,08.06.2018,78,2.0473,16.0,,
217,11300000.0,0.0,08.06.2018,78,2.0473,16.0,,
218,21300000.0,0.0,20.06.2018,90,2.2018,19.0,,
219,37000000.0,0.0,17.05.2018,56,1.8849,14.0,,
220,0.0,10000000.0,08.05.2018,47,1.787,13.0,,
221,21000000.0,0.0,30.04.2018,39,1.7723,13.0,,
222,43000000.0,0.0,08.05.2018,47,1.787,13.0,,
223,0.0,20000000.0,11.06.2018,81,2.0573,16.0,,
224,17750000.0,0.0,11.06.2018,81,2.0714,18.0,,
225,0.0,11000000.0,13.06.2018,83,2.0888,18.0,,
226,0.0,6000000.0,18.06.2018,88,2.145,18.0,,
227,0.0,25000000.0,08.05.2018,47,1.7907,13.0,,
228,41000000.0,0.0,14.05.2018,53,1.8105,14.0,,
229,0.0,17000000.0,21.05.2018,60,1.8849,14.0,,
230,0.0,11000000.0,29.05.2018,68,1.9563,15.0,,
231,0.0,20000000.0,29.05.2018,68,1.9842,16.0,,
232,0.0,22000000.0,20.06.2018,90,2.2018,19.0,,
233,20000000.0,0.0,30.04.2018,39,1.7669,13.0,,
234,28000000.0,0.0,30.04.2018,39,1.7723,13.0,,
235,51100000.0,0.0,30.04.2018,39,1.7723,13.0,,
236,22000000.0,0.0,04.05.2018,43,1.787,13.0,,
237,0.0,10000000.0,07.05.2018,46,1.787,13.0,,
238,0.0,20000000.0,10.05.2018,49,1.8105,14.0,,
239,0.0,10000000.0,10.05.2018,49,1.8105,14.0,,
240,0.0,10000000.0,18.05.2018,57,1.8849,14.0,,
241,0.0,10000000.0,24.05.2018,63,1.9436,15.0,,
242,50000000.0,0.0,24.05.2018,63,1.9436,15.0,,
243,14500000.0,0.0,07.06.2018,77,2.0349,16.0,,
244,0.0,50000000.0,12.06.2018,82,2.0714,18.0,,
245,0.0,20000000.0,13.06.2018,83,2.0888,18.0,,
246,0.0,20000000.0,21.06.2018,91,2.2225,19.0,,
247,0.0,11100000.0,24.04.2018,33,1.7413,13.0,,
248,35000000.0,0.0,27.04.2018,36,1.7669,13.0,,
249,16000000.0,0.0,02.05.2018,41,1.7778,13.0,,
250,0.0,20500000.0,21.05.2018,60,1.8849,14.0,,
251,0.0,20000000.0,04.06.2018,74,2.0172,16.0,,
252,31100000.0,0.0,11.06.2018,81,2.0714,18.0,,
253,50000000.0,0.0,18.06.2018,88,2.145,18.0,,
254,0.0,45300000.0,23.04.2018,32,1.7447,13.0,,
255,8700000.0,0.0,24.04.2018,33,1.7413,13.0,,
256,75000000.0,0.0,08.05.2018,47,1.787,13.0,,
257,50000000.0,0.0,08.05.2018,47,1.787,13.0,,
258,0.0,12800000.0,08.05.2018,47,1.787,13.0,,
259,1100000.0,0.0,08.05.2018,47,1.789,13.0,,
260,34800000.0,0.0,04.06.2018,74,2.0172,16.0,,
261,21900000.0,0.0,08.06.2018,78,2.0473,16.0,,
262,3900000.0,0.0,11.06.2018,81,2.0714,18.0,,
263,0.0,17500000.0,18.06.2018,88,2.145,18.0,,
264,0.0,80000000.0,03.05.2018,42,1.787,13.0,,
265,123000000.0,0.0,30.04.2018,39,1.7723,13.0,,
266,0.0,10900000.0,23.04.2018,32,1.7447,13.0,,
267,0.0,60500000.0,23.04.2018,32,1.7447,13.0,,
268,10900000.0,0.0,23.04.2018,32,1.7445,13.0,,
269,0.0,26000000.0,23.04.2018,32,1.7445,13.0,,
270,0.0,5400000.0,27.04.2018,36,1.7603,13.0,,
271,59000000.0,0.0,29.05.2018,68,1.9842,16.0,,
272,20600000.0,0.0,18.05.2018,57,1.8849,14.0,,
273,0.0,41200000.0,21.05.2018,60,1.8849,14.0,,
274,16400000.0,0.0,04.06.2018,74,2.0246,16.0,,
275,28100000.0,0.0,11.06.2018,81,2.0714,18.0,,
276,32800000.0,0.0,12.06.2018,82,2.0714,18.0,,
277,100000000.0,0.0,15.06.2018,85,2.1245,18.0,,
278,10900000.0,0.0,19.06.2018,89,2.1775,19.0,,
279,10900000.0,0.0,19.06.2018,89,2.1775,19.0,,
280,0.0,5400000.0,03.05.2018,42,1.787,13.0,,
281,10300000.0,0.0,30.04.2018,39,1.7723,13.0,,
282,31000000.0,0.0,03.05.2018,42,1.787,13.0,,
283,10900000.0,0.0,03.05.2018,42,1.787,13.0,,
284,0.0,20600000.0,08.05.2018,47,1.787,13.0,,
285,10900000.0,0.0,08.05.2018,47,1.7935,13.0,,
286,0.0,20500000.0,10.05.2018,49,1.8105,14.0,,
287,0.0,20700000.0,21.05.2018,60,1.8849,14.0,,
288,18600000.0,0.0,21.05.2018,60,1.8921,15.0,,
289,0.0,20600000.0,24.05.2018,63,1.9436,15.0,,
290,0.0,20600000.0,29.05.2018,68,1.9436,15.0,,
291,14400000.0,0.0,29.05.2018,68,1.9436,15.0,,
292,10300000.0,0.0,29.05.2018,68,1.9842,16.0,,
293,0.0,10300000.0,29.05.2018,68,1.9842,16.0,,
294,10300000.0,0.0,01.06.2018,71,2.0063,16.0,,
295,0.0,20600000.0,04.06.2018,74,2.0172,16.0,,
296,0.0,10300000.0,04.06.2018,74,2.0172,16.0,,
297,10300000.0,0.0,04.06.2018,74,2.0246,16.0,,
298,21200000.0,0.0,08.05.2018,47,1.787,13.0,,
299,22600000.0,0.0,08.05.2018,47,1.789,13.0,,
300,53000000.0,0.0,08.05.2018,47,1.7907,13.0,,
301,0.0,81800000.0,15.05.2018,54,1.9604,15.0,,
302,0.0,5600000.0,08.05.2018,47,1.7907,13.0,,
303,105800000.0,0.0,08.05.2018,47,1.7907,13.0,,
304,0.0,56100000.0,08.05.2018,47,1.7907,13.0,,
305,22600000.0,0.0,14.05.2018,53,1.8105,14.0,,
306,21200000.0,0.0,14.05.2018,53,1.82,14.0,,
307,0.0,10600000.0,14.05.2018,53,1.82,14.0,,
308,0.0,21200000.0,15.05.2018,54,1.8388,14.0,,
309,0.0,53100000.0,15.05.2018,54,1.8388,14.0,,
310,0.0,28200000.0,16.05.2018,55,1.85,14.0,,
311,0.0,52000000.0,07.06.2018,77,2.0349,16.0,,
312,0.0,11000000.0,11.06.2018,81,2.0714,18.0,,
313,0.0,11000000.0,12.06.2018,82,2.0714,18.0,,
314,158000000.0,0.0,14.06.2018,84,2.1069,18.0,,
315,0.0,42100000.0,15.06.2018,85,2.1245,18.0,,
316,11000000.0,0.0,15.06.2018,85,2.1245,18.0,,
317,0.0,21100000.0,18.06.2018,88,2.1775,19.0,,
318,0.0,18000000.0,18.06.2018,88,2.1775,19.0,,
319,50000000.0,0.0,19.06.2018,89,2.1775,19.0,,
320,15000000.0,0.0,21.06.2018,91,2.2225,19.0,,
321,5600000.0,0.0,23.04.2018,32,1.7445,13.0,,
322,0.0,11200000.0,23.04.2018,32,1.7445,13.0,,
323,56200000.0,0.0,24.04.2018,33,1.7413,13.0,,
324,0.0,31800000.0,24.04.2018,33,1.7413,13.0,,
325,11200000.0,0.0,25.04.2018,34,1.7452,13.0,,
326,46400000.0,0.0,30.04.2018,39,1.7603,13.0,,
327,0.0,14400000.0,30.04.2018,39,1.7603,13.0,,
328,0.0,68500000.0,30.04.2018,39,1.7603,13.0,,
329,61600000.0,0.0,30.04.2018,39,1.7603,13.0,,
330,20700000.0,0.0,30.04.2018,39,1.7603,13.0,,
331,48700000.0,0.0,30.04.2018,39,1.7669,13.0,,
332,12700000.0,0.0,30.04.2018,39,1.7723,13.0,,
333,37100000.0,0.0,30.04.2018,39,1.7723,13.0,,
334,0.0,155100000.0,01.05.2018,40,1.7734,13.0,,
335,34600000.0,0.0,01.05.2018,40,1.7734,13.0,,
336,56500000.0,0.0,08.05.2018,47,1.789,13.0,,
337,45200000.0,0.0,08.05.2018,47,1.789,13.0,,
338,0.0,106402630.0,08.05.2018,47,1.7935,13.0,,
339,0.0,28100000.0,08.05.2018,47,1.7907,13.0,,
340,51700000.0,0.0,08.05.2018,47,1.7907,13.0,,
341,5600000.0,0.0,08.05.2018,47,1.7907,13.0,,
342,0.0,20800000.0,25.04.2018,34,1.7452,13.0,,
343,20000000.0,0.0,26.04.2018,35,1.7525,13.0,,
344,51900000.0,0.0,26.04.2018,35,1.7525,13.0,,
345,0.0,20100000.0,27.04.2018,36,1.7603,13.0,,
346,27400000.0,0.0,27.04.2018,36,1.7603,13.0,,
347,27500000.0,0.0,27.04.2018,36,1.7603,13.0,,
348,18900000.0,0.0,30.04.2018,39,1.7669,13.0,,
349,0.0,10000000.0,30.04.2018,39,1.7669,13.0,,
350,0.0,4000000.0,30.04.2018,39,1.7669,13.0,,
351,0.0,1000000.0,30.04.2018,39,1.7669,13.0,,
352,0.0,12000000.0,30.04.2018,39,1.7723,13.0,,
353,6000000.0,0.0,01.05.2018,40,1.7734,13.0,,
354,35000000.0,0.0,22.05.2018,61,1.9039,15.0,,
355,54000000.0,0.0,05.06.2018,75,2.0246,16.0,,
356,0.0,16000000.0,05.06.2018,75,2.0246,16.0,,
357,0.0,25500000.0,06.06.2018,76,2.0252,16.0,,
358,41000000.0,0.0,11.06.2018,81,2.0714,18.0,,
359,102000000.0,0.0,18.06.2018,88,2.1775,19.0,,
360,30900000.0,0.0,23.04.2018,32,1.7447,13.0,,
361,12700000.0,0.0,24.04.2018,33,1.7413,13.0,,
362,29800000.0,0.0,04.05.2018,43,1.787,13.0,,
363,0.0,12800000.0,08.05.2018,47,1.787,13.0,,
364,33000000.0,0.0,08.05.2018,47,1.7907,13.0,,
365,102800000.0,0.0,21.05.2018,60,1.8849,14.0,,
366,31000000.0,0.0,04.06.2018,74,2.0172,16.0,,
367,10300000.0,0.0,23.04.2018,32,1.7447,13.0,,
368,20500000.0,0.0,23.04.2018,32,1.7447,13.0,,
369,41000000.0,0.0,23.04.2018,32,1.7447,13.0,,
370,30800000.0,0.0,23.04.2018,32,1.7445,13.0,,
371,0.0,40000000.0,27.04.2018,36,1.5622,10.0,,
372,0.0,22000000.0,18.05.2018,57,1.8849,14.0,,
373,0.0,24700000.0,29.05.2018,68,1.9842,16.0,,
374,0.0,61900000.0,12.06.2018,82,2.0714,18.0,,
375,10900000.0,0.0,15.06.2018,85,2.1245,18.0,,
376,43400000.0,0.0,18.06.2018,88,2.1775,19.0,,
377,0.0,30800000.0,26.04.2018,35,1.7525,13.0,,
378,0.0,10800000.0,30.04.2018,39,1.7603,13.0,,
379,0.0,12700000.0,03.05.2018,42,1.787,13.0,,
380,10200000.0,0.0,08.05.2018,47,1.787,13.0,,
381,10200000.0,0.0,08.05.2018,47,1.787,13.0,,
382,10300000.0,0.0,08.05.2018,47,1.789,13.0,,
383,10200000.0,0.0,09.05.2018,48,1.7999,13.0,,
384,10300000.0,0.0,11.05.2018,50,1.8105,14.0,,
385,10300000.0,0.0,14.05.2018,53,1.82,14.0,,
386,0.0,20600000.0,21.05.2018,60,1.8849,14.0,,
387,0.0,27500000.0,21.05.2018,60,1.8849,14.0,,
388,10300000.0,0.0,23.05.2018,62,1.9198,15.0,,
389,20600000.0,0.0,04.06.2018,74,2.0172,16.0,,
390,19100000.0,0.0,04.06.2018,74,2.0246,16.0,,
391,0.0,10900000.0,04.06.2018,74,2.0246,16.0,,
392,0.0,103000000.0,04.06.2018,74,2.0246,16.0,,
393,10300000.0,0.0,11.06.2018,81,2.0573,16.0,,
394,10300000.0,0.0,11.06.2018,81,2.0714,18.0,,
395,0.0,10400000.0,12.06.2018,82,2.0714,18.0,,
396,0.0,10300000.0,12.06.2018,82,2.0714,18.0,,
397,10300000.0,0.0,13.06.2018,83,2.0888,18.0,,
398,10300000.0,0.0,13.06.2018,83,2.0888,18.0,,
399,5400000.0,0.0,18.06.2018,88,2.1775,19.0,,
400,10900000.0,0.0,20.06.2018,90,2.2018,19.0,,
401,0.0,2100000.0,24.04.2018,33,1.7413,13.0,,
402,16000000.0,0.0,24.04.2018,33,1.7413,13.0,,
403,0.0,30000000.0,27.04.2018,36,1.7603,13.0,,
404,0.0,20500000.0,30.04.2018,39,1.7603,13.0,,
405,10500000.0,0.0,13.06.2018,83,2.0888,18.0,,
406,0.0,33600000.0,13.06.2018,83,2.0888,18.0,,
407,25000000.0,0.0,13.06.2018,83,2.0888,18.0,,
408,0.0,250000000.0,13.06.2018,83,2.0888,18.0,,
409,20900000.0,0.0,14.06.2018,84,2.1069,18.0,,
410,0.0,10500000.0,14.06.2018,84,2.1069,18.0,,
411,0.0,10000000.0,14.06.2018,84,2.1069,18.0,,
412,20000000.0,0.0,14.06.2018,84,2.1069,18.0,,
413,350000000.0,0.0,14.06.2018,84,2.1069,18.0,,
414,0.0,30800000.0,03.05.2018,42,1.787,13.0,,
415,0.0,20500000.0,04.05.2018,43,1.787,13.0,,
416,0.0,14300000.0,08.05.2018,47,1.787,13.0,,
417,10200000.0,0.0,08.05.2018,47,1.787,13.0,,
418,10200000.0,0.0,09.05.2018,48,1.7999,13.0,,
419,10300000.0,0.0,09.05.2018,48,1.7999,13.0,,
420,0.0,10300000.0,11.05.2018,50,1.8105,14.0,,
421,0.0,10300000.0,14.05.2018,53,1.8105,14.0,,
422,20600000.0,0.0,21.05.2018,60,1.8849,14.0,,
423,51500000.0,0.0,21.05.2018,60,1.8849,14.0,,
424,0.0,31000000.0,21.05.2018,60,1.8849,14.0,,
425,20600000.0,0.0,23.05.2018,62,1.9198,15.0,,
426,0.0,20600000.0,04.06.2018,74,2.0172,16.0,,
427,10800000.0,0.0,04.06.2018,74,2.0246,16.0,,
428,54500000.0,0.0,04.06.2018,74,2.0246,16.0,,
429,0.0,20700000.0,05.06.2018,75,2.0246,16.0,,
430,3700000.0,0.0,11.06.2018,81,2.0573,16.0,,
431,10300000.0,0.0,11.06.2018,81,2.0714,18.0,,
